,title,authorids,authors,TL;DR,abstract,pdf,software,preprint,consent,paperhash,existing_preprints,reviewer/Editor_reassignment_request,reviewer/Editor_reassignment_justification,previous_URL,previous_PDF,response_PDF,data
vjwdO75bWI0,ElitePLM: An Empirical Study on General Language Ability Evaluation of Pretrained Language Models,['aclweb.org/ACL/ARR/2021/September/Paper112/Authors'],['Anonymous'],,"Pretrained language models (PLMs), such as BERT and GPT-3, have dominated the majority of NLP tasks. However, relatively little work has been conducted on systematically evaluating the language abilities of PLMs. In this paper, we present a large-scale empirical study on gen\underline{E}ral \underline{l}anguage ab\underline{i}li\underline{t}y \underline{e}valuation of PLMs (ElitePLM). We first design four evaluation dimensions in ElitePLM, including memory, comprehension, reasoning, and composition, and further measure ten widely-used PLMs within five categories. Our empirical results demonstrate that: (1) the pretraining objectives and strategies have significant impacts on PLMs performance in downstream tasks; (2) fine-tuning PLMs in downstream tasks is usually sensitive to the data size and distribution; (3) PLMs have excellent transferability between similar tasks. Our experimental results summarize several important findings, which can guide the future work to choose, apply, and design  PLMs for specific tasks. We have made all the details of experiments publicly available at https://anonymous.4open.science/r/Paper-for-ACL-4FD1.",/pdf/d62563f03fa111ec17cee737f573dc589d4a754d.pdf,,,,anonymous|eliteplm_an_empirical_study_on_general_language_ability_evaluation_of_pretrained_language_models,,,,,,,
ZA6k7c-V1wT,Transformers Can Compose Skills To Solve Novel Problems Without Finetuning,['aclweb.org/ACL/ARR/2021/September/Paper1/Authors'],['Anonymous'],,"It is possible to achieve improved prediction performance with Transformers on unseen datasets by adding disparate new training tasks to an existing multitask training regime. We demonstrate that this can be attributed to a compositional mechanism rather than memorisation. Performance on DROP, DROP-CS and ROPES datasets can be improved by over 26 percent without finetuning through application of numerical reasoning tasks, while performance on seven other question-answering datasets that would not be expected to be improved remains essentially unchanged. By filtering our evaluation datasets to only those samples that have no answer overlap to similar training samples, and then further restricting to those samples which have the least semantic similarity with the training set, we show that improved performance after adding numerical reasoning tasks was not attributable to direct lookup. Our code and filtered datasets are available at https://github.com/anonymised.",/pdf/13d775738a3b28c3402d9b7b45a65162c7085689.pdf,,,,anonymous|transformers_can_compose_skills_to_solve_novel_problems_without_finetuning,,,,,,,
QbNdfN86b62,Continual Few-shot Relation Learning via Embedding Space Regularization and Data Augmentation,['aclweb.org/ACL/ARR/2021/September/Paper105/Authors'],['Anonymous'],,"Existing continual relation learning (CRL) methods rely on plenty of labeled training data for learning a new task, which can be hard to acquire in real scenario as getting large and representative labeled data is often expensive and time-consuming. It is therefore necessary for the model to learn novel relational patterns with very few labeled data while avoiding catastrophic forgetting of previous task knowledge. In this paper, we formulate this challenging yet practical problem as continual few-shot relation learning (CFRL). Based on the finding that learning for new emerging few-shot tasks often results in feature distributions that are incompatible with previous tasks' learned distributions, we propose a novel method based on embedding space regularization and data augmentation. Our method generalizes to new few-shot tasks and avoids catastrophic forgetting of previous tasks by enforcing extra constraints on the relational embeddings and by adding extra relevant data in a self-supervised manner. With extensive experiments we demonstrate that our method can significantly outperform previous state-of-the-art methods in CFRL task settings.",/pdf/3d044f4fb5173d629931d20639e0be9a067caca2.pdf,/attachment/666589fed855cc1d826a50c7b37e1f99600defe2.zip,,,anonymous|continual_fewshot_relation_learning_via_embedding_space_regularization_and_data_augmentation,,,,,,,/attachment/f348123f8055d379fedc93c131c852ab6696c28d.zip
1I_wHy6mZAj,Machine Reading Comprehension: Generative or Extractive Reader?,['aclweb.org/ACL/ARR/2021/September/Paper84/Authors'],['Anonymous'],,"While both extractive and generative readers have been successfully applied to the Question Answering (QA) task, little attention has been paid toward the comparison of these two readers. Which reader performs better? What are the reasons for the performance differences? In this paper, we aim to answer these questions in the setting of extractive QA tasks. We design multiple transformer-based models and different scenarios to systematically compare these two readers. Our findings characterize the difference of two readers and their pros and cons, which can instruct the optimal selection of the two readers, and open up new research avenues to improve each reader.
Our major findings are:
1) generative readers perform better when the input context is long, whereas extractive readers are better when the context is short;
2) extractive readers generalize better as compared to the generative ones under out-of-domain settings, in both single- and multi-task learning scenarios.  
Our experiments also suggest that, although an encoder-only pre-trained language model (PrLM) is an intuitive choice for extractive readers, the encoder from  encoder-decoder PrLM is a strong alternative that performs competitively.",/pdf/e40b29c5eefb5b4e2a18bf0aee889fae50e1d909.pdf,,,,anonymous|machine_reading_comprehension_generative_or_extractive_reader,,,,,,,
TUL_oPO0H2u,Towards Full Utilization on Mask Task for Distilling PLMs into NMT,['aclweb.org/ACL/ARR/2021/September/Paper99/Authors'],['Anonymous'],,"Owing to being well-performed in many natural language processing tasks, the application of pre-trained language models (PLMs) in neural machine translation (NMT) is widely concerned. Knowledge distillation (KD) is one of the mainstream methods which could gain considerable promotion for NMT models without extra computational costs. However, previous methods in NMT always distill knowledge at hidden states level and can not make full use of the teacher models. For solving the aforementioned issue, we propose KD based on mask task as a more effective method utilized in NMT which includes encoder input conversion, mask task distillation, and gradient optimization mechanism. Here, we evaluate our translation systems for English→German and Chinese→English tasks and our methods clearly outperform baseline methods. Besides, our framework can get great performances with different PLMs.",/pdf/291e002e95de04c0428a3058f6f1298322e008f2.pdf,,,,anonymous|towards_full_utilization_on_mask_task_for_distilling_plms_into_nmt,,,,,,,
SvyTrJoK5uw,,,,,,,,,,,,,,,,,
48T0DriwGcv,,,,,,,,,,,,,,,,,
MjA-CuGIx95,Meta-Learning with Sparse Experience Replay for Lifelong Language Learning,['aclweb.org/ACL/ARR/2021/September/Paper76/Authors'],['Anonymous'],,"Lifelong learning requires models that can continuously learn from sequential streams of data without suffering catastrophic forgetting due to shifts in data distributions. Deep learning models have thrived in the non-sequential learning paradigm; however, when used to learn a sequence of tasks, they fail to retain past knowledge and learn incrementally. We propose a novel approach to lifelong learning of language tasks based on meta-learning with sparse experience replay that directly optimizes to prevent forgetting. We show that under the realistic setting of performing a single pass on a stream of tasks and without any task identifiers, our method obtains state-of-the-art results on lifelong text classification and relation extraction. We analyze the effectiveness of our approach and further demonstrate its low computational and space complexity.",/pdf/baead30f580269df3ad5262151ffc1b0ea9a6ff8.pdf,/attachment/24f029b16860ecd50a1d77efdec707452dc92c16.zip,,,anonymous|metalearning_with_sparse_experience_replay_for_lifelong_language_learning,,,,,,,
Moh8zXa3fSC,Focus on the Target's Vocabulary: Masked Label Smoothing for Machine Translation,['aclweb.org/ACL/ARR/2021/September/Paper119/Authors'],['Anonymous'],,"Label smoothing and vocabulary sharing are two widely used techniques in neural machine translation models. However, we argue that jointly adopting these two techniques can be conflicting and even leads to sub-optimal performance, since the soft label produced by label smoothing still considers the source-side words that would not appear at the target side. To address this issue, we propose Masked Label Smoothing (MLS), a new mechanism that masks the soft label probability of source-side words to zero. Simple yet effective, MLS manages to better integrate label smoothing with vocabulary sharing and hence improves the quality of the translation. Our extensive experiments show that MLS consistently yields improvement over original label smoothing on different datasets, including bilingual and multilingual translation in both BLEU and calibration scores.
",/pdf/6dda15218b84b178f84942a62a86cd712b46b864.pdf,/attachment/842d0f049a23618c9713a4b9dbc6d4f3417676e6.zip,,,anonymous|focus_on_the_targets_vocabulary_masked_label_smoothing_for_machine_translation,,,,,,,
231kNimht0Q,Learning Low-frequency Patterns with A Pre-trained Document-Grounded Conversation Model,['aclweb.org/ACL/ARR/2021/September/Paper144/Authors'],['Anonymous'],,"Owing to its perceived capability in recognizing the high-frequency patterns appeared in the large corpora, the Generative Pre-trained Transformer model (GPT-2) has demonstrated its remarkable performance in the document-grounded dialogue generation. Capturing low-frequency patterns, however, remains a challenging task. Here we consider a possible extension of the GPT-2 model with its improved capability of grasping the low-frequency patterns especially for task-specific dialogues. The extension consists of a semantic-oriented encoder and a GPT-2 decoder, the latter equipped with a knowledge-aware classification. The proposed encoder-decoder framework strengthens the GPT-2 in two task-specific aspects: One is in regard of a suitable way to select, on a semantic level, the crucial information of the dialogue context and the corresponding history knowledge from the documents; The other is in terms of the determination of the suitable time to generate a response with the knowledge from documents. With the enhanced capability to learn not only high-frequency and but also low-frequency patterns, the proposed extension is shown to outperform the state-of-the-art generative models.",/pdf/fd99c44af532cb0fed2eddc27abbeeeac762345b.pdf,,,,anonymous|learning_lowfrequency_patterns_with_a_pretrained_documentgrounded_conversation_model,,,,,/attachment/bf5474f880eb52f149e137eba69c235ae97f49c8.pdf,,
DutjyHb33yO,Accurate Online Posterior Alignments for Principled Lexically-Constrained Decoding,['aclweb.org/ACL/ARR/2021/September/Paper31/Authors'],['Anonymous'],,"Online alignment in machine translation refers to the task of aligning a target word to a source word when the target sequence has only been partially decoded. Good online alignments facilitate important applications such as lexically constrained translation where user-defined dictionaries are used to inject lexical constraints into the translation model. We propose a novel posterior alignment technique that is truly online in its execution and superior in terms of alignment error rates compared to existing methods. Our proposed inference technique jointly considers alignment and token probabilities in a principled manner and can be seamlessly integrated within existing constrained beam-search decoding algorithms.  On five language pairs, including two distant language pairs, we achieve consistent drop in alignment error rates. When deployed on three lexically constrained translation tasks, we achieve significant improvements in BLEU specifically around the constrained positions. We show that our alignment guided constrained inference yields additional benefits of fluency with negligible additional computational costs.
",/pdf/68be52e2f73f281a54b5ed11b5520ac471298ecb.pdf,,,,anonymous|accurate_online_posterior_alignments_for_principled_lexicallyconstrained_decoding,,,,,,,
Z38ExoQkXoc,"Draft, Command, and Edit: Controllable Text Editing in E-Commerce",['aclweb.org/ACL/ARR/2021/September/Paper288/Authors'],['Anonymous'],,"Product description generation is a challenging and under-explored task. Most such work takes a set of product attributes as inputs then generates a description from scratch in a single pass. However, this widespread paradigm might be limited when facing the dynamic wishes of users on constraining the description, such as deleting or adding the content of a user-specified attribute based on the previous version. To address this challenge, we explore a new draft-command-edit manner in description generation, leading to the proposed new task ---controllable text editing in E-commerce. More specifically, we allow systems to receive a command (deleting or adding) from the user and then generate a description by flexibly modifying the content based on the previous version. It is easier and more practical to meet the new needs by modifying previous versions than generating from scratch. To accompany this new task, we present a human-written draft-command-edit dataset called E-cEdits. Furthermore, we design a data augmentation method to remedy the low resource challenge in this task, which contains a model-based and a rule-based strategy to imitate the edit by humans. Our experimental results show that using the new data augmentation method outperforms baselines to a greater extent in both automatic and human evaluations.",/pdf/1bc1670aa8a30bda75cd989640c23dc4e4f9263c.pdf,/attachment/e2e0df135ffd4b3d92d807082f259cb3ee715c53.zip,,,anonymous|draft_command_and_edit_controllable_text_editing_in_ecommerce,,,,,,,/attachment/e8ef37301fbb83f2a015d69c43f231d469e75b09.zip
